Files already downloaded and verified
USE 1 GPUs!
# TEST : Loss: (0.3534) | Acc: (89.11%) (8911/10000)
Epoch: 38 | Batch_idx: 195 |  Loss: (0.2155) | Acc: (92.46%) (46228/50000)
# TEST : Loss: (0.3740) | Acc: (89.09%) (8909/10000)
Epoch: 39 | Batch_idx: 195 |  Loss: (0.2098) | Acc: (92.56%) (46278/50000)
# TEST : Loss: (0.3945) | Acc: (88.91%) (8891/10000)
Epoch: 40 | Batch_idx: 195 |  Loss: (0.2046) | Acc: (92.79%) (46396/50000)
# TEST : Loss: (0.3506) | Acc: (89.57%) (8957/10000)
Epoch: 41 | Batch_idx: 195 |  Loss: (0.1952) | Acc: (93.12%) (46561/50000)
# TEST : Loss: (0.3737) | Acc: (89.09%) (8909/10000)
Epoch: 42 | Batch_idx: 195 |  Loss: (0.1898) | Acc: (93.31%) (46653/50000)
# TEST : Loss: (0.3548) | Acc: (90.35%) (9035/10000)
Epoch: 43 | Batch_idx: 195 |  Loss: (0.1817) | Acc: (93.56%) (46778/50000)
# TEST : Loss: (0.3666) | Acc: (89.75%) (8975/10000)
Epoch: 44 | Batch_idx: 195 |  Loss: (0.1765) | Acc: (93.83%) (46914/50000)
# TEST : Loss: (0.3549) | Acc: (89.63%) (8963/10000)
Epoch: 45 | Batch_idx: 195 |  Loss: (0.1746) | Acc: (93.81%) (46906/50000)
# TEST : Loss: (0.3481) | Acc: (90.11%) (9011/10000)
Epoch: 46 | Batch_idx: 195 |  Loss: (0.1681) | Acc: (94.03%) (47015/50000)
# TEST : Loss: (0.3675) | Acc: (89.65%) (8965/10000)
Epoch: 47 | Batch_idx: 195 |  Loss: (0.1641) | Acc: (94.07%) (47037/50000)
# TEST : Loss: (0.3478) | Acc: (90.43%) (9043/10000)
Epoch: 48 | Batch_idx: 195 |  Loss: (0.1563) | Acc: (94.31%) (47156/50000)
# TEST : Loss: (0.3990) | Acc: (89.25%) (8925/10000)
Epoch: 49 | Batch_idx: 195 |  Loss: (0.1581) | Acc: (94.37%) (47183/50000)
# TEST : Loss: (0.3618) | Acc: (90.14%) (9014/10000)
Epoch: 50 | Batch_idx: 195 |  Loss: (0.1482) | Acc: (94.70%) (47351/50000)
# TEST : Loss: (0.3674) | Acc: (89.41%) (8941/10000)
Epoch: 51 | Batch_idx: 195 |  Loss: (0.1449) | Acc: (94.98%) (47490/50000)
# TEST : Loss: (0.4108) | Acc: (89.41%) (8941/10000)
Epoch: 52 | Batch_idx: 195 |  Loss: (0.1427) | Acc: (95.01%) (47504/50000)
# TEST : Loss: (0.3571) | Acc: (90.22%) (9022/10000)
Epoch: 53 | Batch_idx: 195 |  Loss: (0.1418) | Acc: (95.04%) (47520/50000)
# TEST : Loss: (0.3701) | Acc: (90.02%) (9002/10000)
Epoch: 54 | Batch_idx: 195 |  Loss: (0.1325) | Acc: (95.29%) (47646/50000)
# TEST : Loss: (0.3567) | Acc: (90.23%) (9023/10000)
Epoch: 55 | Batch_idx: 195 |  Loss: (0.1358) | Acc: (95.18%) (47589/50000)
# TEST : Loss: (0.3438) | Acc: (90.42%) (9042/10000)
Epoch: 56 | Batch_idx: 195 |  Loss: (0.1296) | Acc: (95.38%) (47692/50000)
# TEST : Loss: (0.3618) | Acc: (90.18%) (9018/10000)
Epoch: 57 | Batch_idx: 195 |  Loss: (0.1255) | Acc: (95.68%) (47839/50000)
# TEST : Loss: (0.3515) | Acc: (90.35%) (9035/10000)
Epoch: 58 | Batch_idx: 195 |  Loss: (0.1219) | Acc: (95.65%) (47823/50000)
# TEST : Loss: (0.4198) | Acc: (89.51%) (8951/10000)
Epoch: 59 | Batch_idx: 195 |  Loss: (0.1231) | Acc: (95.68%) (47838/50000)
# TEST : Loss: (0.3814) | Acc: (90.61%) (9061/10000)
Epoch: 60 | Batch_idx: 195 |  Loss: (0.1161) | Acc: (95.94%) (47971/50000)
# TEST : Loss: (0.3981) | Acc: (90.07%) (9007/10000)
Epoch: 61 | Batch_idx: 195 |  Loss: (0.1124) | Acc: (96.00%) (48001/50000)
# TEST : Loss: (0.3968) | Acc: (90.02%) (9002/10000)
Epoch: 62 | Batch_idx: 195 |  Loss: (0.1089) | Acc: (96.13%) (48064/50000)
# TEST : Loss: (0.4216) | Acc: (90.01%) (9001/10000)
Epoch: 63 | Batch_idx: 195 |  Loss: (0.1153) | Acc: (95.85%) (47925/50000)
# TEST : Loss: (0.3869) | Acc: (90.32%) (9032/10000)
Epoch: 64 | Batch_idx: 195 |  Loss: (0.1059) | Acc: (96.23%) (48113/50000)
# TEST : Loss: (0.3778) | Acc: (90.53%) (9053/10000)
Epoch: 65 | Batch_idx: 195 |  Loss: (0.1005) | Acc: (96.46%) (48229/50000)
# TEST : Loss: (0.4234) | Acc: (89.88%) (8988/10000)
Epoch: 66 | Batch_idx: 195 |  Loss: (0.1035) | Acc: (96.37%) (48184/50000)
# TEST : Loss: (0.3962) | Acc: (90.61%) (9061/10000)
Epoch: 67 | Batch_idx: 195 |  Loss: (0.0941) | Acc: (96.72%) (48359/50000)
# TEST : Loss: (0.3942) | Acc: (90.34%) (9034/10000)
Epoch: 68 | Batch_idx: 195 |  Loss: (0.0995) | Acc: (96.45%) (48225/50000)
# TEST : Loss: (0.3857) | Acc: (90.62%) (9062/10000)
Epoch: 69 | Batch_idx: 195 |  Loss: (0.0904) | Acc: (96.82%) (48410/50000)
# TEST : Loss: (0.3804) | Acc: (91.01%) (9101/10000)
Epoch: 70 | Batch_idx: 195 |  Loss: (0.0903) | Acc: (96.79%) (48395/50000)
# TEST : Loss: (0.3978) | Acc: (90.76%) (9076/10000)
Epoch: 71 | Batch_idx: 195 |  Loss: (0.0917) | Acc: (96.72%) (48360/50000)
# TEST : Loss: (0.4006) | Acc: (90.25%) (9025/10000)
Epoch: 72 | Batch_idx: 195 |  Loss: (0.0936) | Acc: (96.72%) (48358/50000)
# TEST : Loss: (0.3689) | Acc: (90.80%) (9080/10000)
Epoch: 73 | Batch_idx: 195 |  Loss: (0.0880) | Acc: (96.87%) (48437/50000)
# TEST : Loss: (0.3899) | Acc: (90.49%) (9049/10000)
Epoch: 74 | Batch_idx: 195 |  Loss: (0.0808) | Acc: (97.17%) (48583/50000)
# TEST : Loss: (0.3845) | Acc: (90.89%) (9089/10000)
Epoch: 75 | Batch_idx: 195 |  Loss: (0.0865) | Acc: (97.09%) (48545/50000)
# TEST : Loss: (0.3999) | Acc: (90.90%) (9090/10000)
Epoch: 76 | Batch_idx: 195 |  Loss: (0.0834) | Acc: (97.00%) (48501/50000)
# TEST : Loss: (0.3888) | Acc: (90.92%) (9092/10000)
Epoch: 77 | Batch_idx: 195 |  Loss: (0.0814) | Acc: (97.22%) (48610/50000)
# TEST : Loss: (0.4050) | Acc: (90.86%) (9086/10000)
Epoch: 78 | Batch_idx: 195 |  Loss: (0.0813) | Acc: (97.13%) (48567/50000)
# TEST : Loss: (0.3827) | Acc: (90.92%) (9092/10000)
Epoch: 79 | Batch_idx: 195 |  Loss: (0.0788) | Acc: (97.21%) (48605/50000)
# TEST : Loss: (0.4083) | Acc: (90.56%) (9056/10000)
Epoch: 80 | Batch_idx: 195 |  Loss: (0.0766) | Acc: (97.24%) (48620/50000)
# TEST : Loss: (0.3932) | Acc: (90.79%) (9079/10000)
Epoch: 81 | Batch_idx: 195 |  Loss: (0.0737) | Acc: (97.40%) (48699/50000)
# TEST : Loss: (0.3994) | Acc: (90.96%) (9096/10000)
Epoch: 82 | Batch_idx: 195 |  Loss: (0.0709) | Acc: (97.55%) (48775/50000)
# TEST : Loss: (0.4467) | Acc: (89.98%) (8998/10000)
Epoch: 83 | Batch_idx: 195 |  Loss: (0.0729) | Acc: (97.47%) (48735/50000)
# TEST : Loss: (0.4182) | Acc: (90.73%) (9073/10000)
Epoch: 84 | Batch_idx: 195 |  Loss: (0.0713) | Acc: (97.45%) (48725/50000)
# TEST : Loss: (0.4064) | Acc: (90.99%) (9099/10000)
Epoch: 85 | Batch_idx: 195 |  Loss: (0.0717) | Acc: (97.48%) (48740/50000)
# TEST : Loss: (0.4077) | Acc: (90.66%) (9066/10000)
Epoch: 86 | Batch_idx: 195 |  Loss: (0.0701) | Acc: (97.52%) (48760/50000)
# TEST : Loss: (0.3996) | Acc: (90.89%) (9089/10000)
Epoch: 87 | Batch_idx: 195 |  Loss: (0.0629) | Acc: (97.83%) (48917/50000)
# TEST : Loss: (0.4063) | Acc: (91.00%) (9100/10000)
Epoch: 88 | Batch_idx: 195 |  Loss: (0.0659) | Acc: (97.69%) (48846/50000)
# TEST : Loss: (0.4040) | Acc: (91.06%) (9106/10000)
Epoch: 89 | Batch_idx: 195 |  Loss: (0.0664) | Acc: (97.70%) (48850/50000)
# TEST : Loss: (0.3894) | Acc: (90.82%) (9082/10000)
Epoch: 90 | Batch_idx: 195 |  Loss: (0.0616) | Acc: (97.85%) (48925/50000)
# TEST : Loss: (0.4261) | Acc: (91.07%) (9107/10000)
Epoch: 91 | Batch_idx: 195 |  Loss: (0.0699) | Acc: (97.63%) (48814/50000)
# TEST : Loss: (0.4161) | Acc: (91.01%) (9101/10000)
Epoch: 92 | Batch_idx: 195 |  Loss: (0.0586) | Acc: (98.02%) (49012/50000)
# TEST : Loss: (0.4011) | Acc: (90.96%) (9096/10000)
Epoch: 93 | Batch_idx: 195 |  Loss: (0.0620) | Acc: (97.82%) (48910/50000)
# TEST : Loss: (0.4366) | Acc: (90.77%) (9077/10000)
Epoch: 94 | Batch_idx: 195 |  Loss: (0.0576) | Acc: (97.96%) (48979/50000)
# TEST : Loss: (0.4239) | Acc: (91.22%) (9122/10000)
Epoch: 95 | Batch_idx: 195 |  Loss: (0.0583) | Acc: (97.93%) (48964/50000)
# TEST : Loss: (0.4381) | Acc: (90.51%) (9051/10000)
Epoch: 96 | Batch_idx: 195 |  Loss: (0.0615) | Acc: (97.83%) (48916/50000)
# TEST : Loss: (0.4073) | Acc: (90.69%) (9069/10000)
Epoch: 97 | Batch_idx: 195 |  Loss: (0.0565) | Acc: (98.05%) (49026/50000)
# TEST : Loss: (0.4373) | Acc: (91.18%) (9118/10000)
Epoch: 98 | Batch_idx: 195 |  Loss: (0.0635) | Acc: (97.75%) (48877/50000)
# TEST : Loss: (0.4325) | Acc: (90.87%) (9087/10000)
Epoch: 99 | Batch_idx: 195 |  Loss: (0.0563) | Acc: (98.01%) (49006/50000)
# TEST : Loss: (0.3895) | Acc: (91.23%) (9123/10000)
Epoch: 100 | Batch_idx: 195 |  Loss: (0.0516) | Acc: (98.21%) (49103/50000)
# TEST : Loss: (0.4468) | Acc: (90.82%) (9082/10000)
Epoch: 101 | Batch_idx: 195 |  Loss: (0.0562) | Acc: (98.03%) (49017/50000)
# TEST : Loss: (0.4153) | Acc: (90.86%) (9086/10000)
Epoch: 102 | Batch_idx: 195 |  Loss: (0.0481) | Acc: (98.32%) (49159/50000)
# TEST : Loss: (0.4170) | Acc: (91.09%) (9109/10000)
Epoch: 103 | Batch_idx: 195 |  Loss: (0.0540) | Acc: (98.15%) (49075/50000)
# TEST : Loss: (0.4128) | Acc: (91.15%) (9115/10000)
Epoch: 104 | Batch_idx: 195 |  Loss: (0.0492) | Acc: (98.34%) (49170/50000)
# TEST : Loss: (0.4178) | Acc: (91.00%) (9100/10000)
Epoch: 105 | Batch_idx: 195 |  Loss: (0.0486) | Acc: (98.39%) (49196/50000)
# TEST : Loss: (0.4271) | Acc: (90.82%) (9082/10000)
Epoch: 106 | Batch_idx: 195 |  Loss: (0.0527) | Acc: (98.12%) (49061/50000)
# TEST : Loss: (0.4246) | Acc: (91.03%) (9103/10000)
Epoch: 107 | Batch_idx: 195 |  Loss: (0.0469) | Acc: (98.36%) (49178/50000)
# TEST : Loss: (0.4285) | Acc: (91.25%) (9125/10000)
Epoch: 108 | Batch_idx: 195 |  Loss: (0.0485) | Acc: (98.32%) (49159/50000)
# TEST : Loss: (0.4274) | Acc: (91.00%) (9100/10000)
Epoch: 109 | Batch_idx: 195 |  Loss: (0.0509) | Acc: (98.22%) (49112/50000)
# TEST : Loss: (0.4280) | Acc: (90.90%) (9090/10000)
Epoch: 110 | Batch_idx: 195 |  Loss: (0.0475) | Acc: (98.32%) (49160/50000)
# TEST : Loss: (0.4204) | Acc: (91.03%) (9103/10000)
Epoch: 111 | Batch_idx: 195 |  Loss: (0.0438) | Acc: (98.45%) (49226/50000)
# TEST : Loss: (0.4217) | Acc: (91.36%) (9136/10000)
Epoch: 112 | Batch_idx: 195 |  Loss: (0.0449) | Acc: (98.44%) (49220/50000)
# TEST : Loss: (0.4234) | Acc: (91.02%) (9102/10000)
Epoch: 113 | Batch_idx: 195 |  Loss: (0.0485) | Acc: (98.32%) (49161/50000)
# TEST : Loss: (0.4231) | Acc: (90.96%) (9096/10000)
Epoch: 114 | Batch_idx: 195 |  Loss: (0.0483) | Acc: (98.34%) (49171/50000)
# TEST : Loss: (0.4448) | Acc: (90.71%) (9071/10000)
Epoch: 115 | Batch_idx: 195 |  Loss: (0.0465) | Acc: (98.39%) (49195/50000)
# TEST : Loss: (0.4046) | Acc: (91.30%) (9130/10000)
Epoch: 116 | Batch_idx: 195 |  Loss: (0.0450) | Acc: (98.41%) (49205/50000)
# TEST : Loss: (0.4597) | Acc: (90.54%) (9054/10000)
Epoch: 117 | Batch_idx: 195 |  Loss: (0.0401) | Acc: (98.63%) (49317/50000)
# TEST : Loss: (0.4286) | Acc: (91.15%) (9115/10000)
Epoch: 118 | Batch_idx: 195 |  Loss: (0.0450) | Acc: (98.40%) (49202/50000)
# TEST : Loss: (0.4331) | Acc: (91.04%) (9104/10000)
Epoch: 119 | Batch_idx: 195 |  Loss: (0.0429) | Acc: (98.53%) (49265/50000)
# TEST : Loss: (0.4578) | Acc: (91.04%) (9104/10000)
Epoch: 120 | Batch_idx: 195 |  Loss: (0.0421) | Acc: (98.57%) (49286/50000)
# TEST : Loss: (0.4412) | Acc: (91.07%) (9107/10000)
Epoch: 121 | Batch_idx: 195 |  Loss: (0.0425) | Acc: (98.47%) (49235/50000)
# TEST : Loss: (0.4368) | Acc: (90.70%) (9070/10000)
Epoch: 122 | Batch_idx: 195 |  Loss: (0.0404) | Acc: (98.61%) (49306/50000)
# TEST : Loss: (0.4783) | Acc: (90.35%) (9035/10000)
Epoch: 123 | Batch_idx: 195 |  Loss: (0.0431) | Acc: (98.52%) (49262/50000)
# TEST : Loss: (0.4315) | Acc: (91.38%) (9138/10000)
Epoch: 124 | Batch_idx: 195 |  Loss: (0.0386) | Acc: (98.62%) (49311/50000)
# TEST : Loss: (0.3995) | Acc: (91.50%) (9150/10000)
Epoch: 125 | Batch_idx: 195 |  Loss: (0.0430) | Acc: (98.49%) (49246/50000)
# TEST : Loss: (0.4459) | Acc: (91.40%) (9140/10000)
Epoch: 126 | Batch_idx: 195 |  Loss: (0.0359) | Acc: (98.84%) (49419/50000)
# TEST : Loss: (0.4605) | Acc: (90.94%) (9094/10000)
Epoch: 127 | Batch_idx: 195 |  Loss: (0.0410) | Acc: (98.62%) (49309/50000)
# TEST : Loss: (0.4391) | Acc: (91.40%) (9140/10000)
Epoch: 128 | Batch_idx: 195 |  Loss: (0.0399) | Acc: (98.58%) (49291/50000)
# TEST : Loss: (0.4471) | Acc: (91.13%) (9113/10000)
Epoch: 129 | Batch_idx: 195 |  Loss: (0.0418) | Acc: (98.54%) (49270/50000)
# TEST : Loss: (0.3996) | Acc: (91.45%) (9145/10000)
Epoch: 130 | Batch_idx: 195 |  Loss: (0.0356) | Acc: (98.83%) (49413/50000)
# TEST : Loss: (0.4289) | Acc: (91.13%) (9113/10000)
Epoch: 131 | Batch_idx: 195 |  Loss: (0.0404) | Acc: (98.62%) (49310/50000)
# TEST : Loss: (0.4218) | Acc: (91.83%) (9183/10000)
Epoch: 132 | Batch_idx: 195 |  Loss: (0.0381) | Acc: (98.67%) (49335/50000)
# TEST : Loss: (0.4611) | Acc: (90.89%) (9089/10000)
Epoch: 133 | Batch_idx: 195 |  Loss: (0.0381) | Acc: (98.72%) (49358/50000)
# TEST : Loss: (0.4098) | Acc: (91.52%) (9152/10000)
Epoch: 134 | Batch_idx: 195 |  Loss: (0.0388) | Acc: (98.68%) (49341/50000)
# TEST : Loss: (0.4653) | Acc: (90.69%) (9069/10000)
Epoch: 135 | Batch_idx: 195 |  Loss: (0.0343) | Acc: (98.79%) (49397/50000)
# TEST : Loss: (0.4468) | Acc: (91.08%) (9108/10000)
Epoch: 136 | Batch_idx: 195 |  Loss: (0.0380) | Acc: (98.73%) (49367/50000)
